Date,Year,Year_Quarter,Category_ID,Customer_ID,Product_ID,Sales_Count,Net_Sales,Gross_Sales
1/5/09 12:00 AM,2009,2009 - Q1,1,104,4,1,918.4,1120
1/5/09 12:00 AM,2009,2009 - Q1,1,12,2,1,19516,23800
1/5/09 12:00 AM,2009,2009 - Q1,2,1,8,1,22861.6,27880
1/5/09 12:00 AM,2009,2009 - Q1,2,2,6,1,292740,357000
1/5/09 12:00 AM,2009,2009 - Q1,2,105,5,1,138580,169000
1/5/09 12:00 AM,2009,2009 - Q1,2,15,5,1,95120,116000
1/5/09 12:00 AM,2009,2009 - Q1,2,15,8,2,12496.8,15240
1/5/09 12:00 AM,2009,2009 - Q1,3,1,9,1,197316,243600
1/5/09 12:00 AM,2009,2009 - Q1,3,105,10,1,120690,149000
1/6/09 12:00 AM,2009,2009 - Q1,1,105,1,1,12136,14800
1/6/09 12:00 AM,2009,2009 - Q1,1,105,2,1,23780,29000
1/6/09 12:00 AM,2009,2009 - Q1,1,15,1,1,11070,13500
1/6/09 12:00 AM,2009,2009 - Q1,1,15,2,1,22140,27000
1/6/09 12:00 AM,2009,2009 - Q1,1,15,3,1,1066,1300
1/6/09 12:00 AM,2009,2009 - Q1,2,5,8,1,18318.8,22340
1/6/09 12:00 AM,2009,2009 - Q1,8,7,37,1,115324.8,140640
1/6/09 12:00 AM,2009,2009 - Q1,8,7,39,1,20526.24,25032
1/6/09 12:00 AM,2009,2009 - Q1,8,106,39,1,9815.4,11970
1/7/09 12:00 AM,2009,2009 - Q1,1,7,1,1,12136,14800
1/7/09 12:00 AM,2009,2009 - Q1,1,7,2,1,22632,27600
1/7/09 12:00 AM,2009,2009 - Q1,1,107,2,1,16236,19800
1/7/09 12:00 AM,2009,2009 - Q1,1,108,1,1,12136,14800
1/7/09 12:00 AM,2009,2009 - Q1,1,19,1,1,12464,15200
1/7/09 12:00 AM,2009,2009 - Q1,2,7,6,1,71750,87500
1/7/09 12:00 AM,2009,2009 - Q1,2,7,7,2,9389,11450
1/7/09 12:00 AM,2009,2009 - Q1,2,19,5,1,149240,182000
1/7/09 12:00 AM,2009,2009 - Q1,2,20,7,1,2993,3650
1/7/09 12:00 AM,2009,2009 - Q1,3,7,9,2,437458,520800
1/7/09 12:00 AM,2009,2009 - Q1,3,106,12,1,39216,45600
1/7/09 12:00 AM,2009,2009 - Q1,3,107,10,1,129000,150000
1/7/09 12:00 AM,2009,2009 - Q1,3,108,10,1,202100,235000
1/7/09 12:00 AM,2009,2009 - Q1,8,19,38,1,4034.4,4920
1/7/09 12:00 AM,2009,2009 - Q1,8,22,37,1,46051.2,56160
1/8/09 12:00 AM,2009,2009 - Q1,1,7,3,1,1131.6,1380
1/8/09 12:00 AM,2009,2009 - Q1,1,7,4,1,902,1100
1/8/09 12:00 AM,2009,2009 - Q1,1,109,2,1,14760,18000
1/8/09 12:00 AM,2009,2009 - Q1,1,109,3,1,762.6,930
1/8/09 12:00 AM,2009,2009 - Q1,1,22,1,1,4920,6000
1/8/09 12:00 AM,2009,2009 - Q1,2,9,8,1,5313.6,6480
1/8/09 12:00 AM,2009,2009 - Q1,3,109,10,1,5160,6000
1/8/09 12:00 AM,2009,2009 - Q1,3,22,10,1,395,500
1/8/09 12:00 AM,2009,2009 - Q1,8,23,36,1,109552,133600
1/9/09 12:00 AM,2009,2009 - Q1,1,109,4,1,590.4,720
1/9/09 12:00 AM,2009,2009 - Q1,1,23,3,1,680.6,830
1/9/09 12:00 AM,2009,2009 - Q1,2,11,5,1,83640,102000
1/9/09 12:00 AM,2009,2009 - Q1,2,26,5,1,223040,272000
1/9/09 12:00 AM,2009,2009 - Q1,3,9,11,1,1968.3,2430
1/9/09 12:00 AM,2009,2009 - Q1,3,9,9,1,91854,113400
1/9/09 12:00 AM,2009,2009 - Q1,3,11,12,1,27702,34200
1/9/09 12:00 AM,2009,2009 - Q1,3,110,10,1,9460,11000
1/9/09 12:00 AM,2009,2009 - Q1,8,110,36,1,195488,238400
1/9/09 12:00 AM,2009,2009 - Q1,8,111,38,1,2017.2,2460
1/9/09 12:00 AM,2009,2009 - Q1,8,27,38,1,6150,7500
1/9/09 12:00 AM,2009,2009 - Q1,8,27,37,1,179481.6,218880
1/12/09 12:00 AM,2009,2009 - Q1,1,11,2,1,14760,18000
1/12/09 12:00 AM,2009,2009 - Q1,1,27,1,1,18696,22800
1/12/09 12:00 AM,2009,2009 - Q1,1,27,4,1,1476,1800
1/12/09 12:00 AM,2009,2009 - Q1,2,111,7,2,4715,5750
1/12/09 12:00 AM,2009,2009 - Q1,2,112,5,1,145960,178000
1/12/09 12:00 AM,2009,2009 - Q1,3,11,9,1,102627,126700
1/12/09 12:00 AM,2009,2009 - Q1,3,27,9,1,37730,49000
1/12/09 12:00 AM,2009,2009 - Q1,8,12,37,1,110208,134400
1/12/09 12:00 AM,2009,2009 - Q1,8,112,35,1,488720,596000
1/13/09 12:00 AM,2009,2009 - Q1,2,12,6,1,72160,88000
1/13/09 12:00 AM,2009,2009 - Q1,2,13,8,1,9626.8,11740
1/13/09 12:00 AM,2009,2009 - Q1,2,30,6,1,58630,71500
1/13/09 12:00 AM,2009,2009 - Q1,3,112,10,1,5670,7000
1/13/09 12:00 AM,2009,2009 - Q1,8,14,35,1,262400,320000
1/13/09 12:00 AM,2009,2009 - Q1,8,113,38,1,2041.8,2490
1/13/09 12:00 AM,2009,2009 - Q1,8,114,35,1,488720,596000
1/13/09 12:00 AM,2009,2009 - Q1,8,30,38,1,3136.5,3825
1/13/09 12:00 AM,2009,2009 - Q1,8,31,37,1,202310.4,246720
1/14/09 12:00 AM,2009,2009 - Q1,1,114,3,2,2345.2,2860
1/14/09 12:00 AM,2009,2009 - Q1,2,14,6,1,39360,48000
1/14/09 12:00 AM,2009,2009 - Q1,2,16,7,1,1877.8,2290
1/14/09 12:00 AM,2009,2009 - Q1,2,114,7,2,9462.8,11540
1/14/09 12:00 AM,2009,2009 - Q1,2,31,5,1,505940,617000
1/14/09 12:00 AM,2009,2009 - Q1,2,37,6,1,47560,58000
1/14/09 12:00 AM,2009,2009 - Q1,2,38,6,1,45920,56000
